dbType,assignType,tutor,cDNo,authorCode,articleUrl,title,quoteCount,publishTime,downloadCount,dbSource,fileName,allowDownload,author,range,articleStatus,tutorCode,year,content,keyWord,originate,zTCode,summary,magaAssignCode,period,deptCode,dbName,arcitleType,versionCode,articleAssignCode,publishPYName,publishCode
CJFD,,,cajtmp,000060468854;000035241989,,~#@机器学习@#~在信息系统管理中的应用分析,0,2024-08-10,18,期刊,KXZC202408051,True,李一;李爽;,,,,2024,,机器学习;;信息系统;;管理应用,科学咨询(科技·管理),I138;I140;,信息系统是一个由计算机硬件、软件、数据和用户组成的系统，用于支持组织的各种业务和决策。随着多组织信息化的不断推进，信息系统在组织中扮演着越来越重要的角色。然而，信息系统管理仍然面临许多挑战，如基础设施的优化、数据的管理和分析、信息安全和用户支持等问题[1-3]。为了解决这些问题，研究者开始关注~#@机器学习@#~在信息系统管理中的应用。~#@机器学习@#~是一种基于数据驱动的算法，通过~#@学习@...,,08,1003001;,CJFDAUTO,期刊,,,KXZC,
CJFD,,,cajtmp,000064568775;000064568776;000064568774,,~#@机器学习@#~模型在软件工程中的研究与应用,0,2024-08-10,17,期刊,XXDL202415052,True,王一丁;曾珺;马培兴;,,,,2024,,机器学习;;数据分析;;软件工程,信息与电脑(理论版),I138;I140;,"0 引言
随着大数据与人工智能的不断发展及大数据时代的到来，~#@机器学习@#~技术在软件工程中的研究日益广泛，涉及医疗信息、图像和语音识别及金融风控等多个领域。~#@机器学习@#~模型可以通过对数据集中的大量数据~#@学习@#~和分析，挖掘出数据中存在的规律，进而搭建预测分析模型，提高软件开发的效率和质量，推动软件工程的智能化发展。
1 ~#@机器学习@#~概述
~#@机器学习@#~是人工...",,15,1749894;,CJFDAUTO,期刊,,,XXDL,
CJFD,,,cajtmp,000038272794;000047563107,,~#@机器学习@#~伦理风险及其防控治理,0,2024-08-05,174,期刊,SDSK202408011,True,夏明月;陈冬阳;,,,,2024,,机器学习;;伦理风险;;人工智能;;治理,山东社会科学,F101;,"目前，人类已迈入人工智能(Artifical Intelligence, 简称AI)时代，正向着智能化社会持续推进。牛津大学信息哲学教授卢西亚诺·弗洛里迪(Luciano Floridi)认为，人工智能是继哥白尼革命、达尔文革命、神经科学革命之后人类自我认知的“第四次革命”①。作为人工智能的前沿成果，ChatGPT自发布之日起五日内用户就超过了100万，截至2023年12月，ChatGPT 拥有约...",,08,0073648;,CJFDAUTO,期刊,,,SDSK,
CJFD,,,INFO2409S1,000020063697;000036665956,,~#@机器学习@#~支持下的入侵检测技术探究,0,2024-08-01,30,期刊,CXJL202408036,True,肖学玲;肖远军;,,,,2024,,机器学习;;入侵检测技术;;网络安全,信息记录材料,I139;I140;,"0 引言
当前互联网已经成为人们日常生活中的重要组成部分，然而，网络入侵威胁日益严重，对个人隐私泄露与社会公共安全均造成了严重影响，因此需要及时对网络入侵采取有效的检测技术，从而确保网络安全。目前计算机网络系统防御入侵的主要手段是软硬件相结合的入侵检测系统，入侵检测系统能够通过对入侵行为、网络日志以及其他网络上获取的信息进行有效分析与识别，一旦检测到对网络的入侵意图，立即采取适当的解决方法进行处...",,08,0263858;0020546;,CJFDLAST2024,期刊,,,CXJL,
CJFD,,,SOCI2409SS,000004865449,,人工智能“~#@机器学习@#~”教学逆向设计的实践与思考,0,2024-08-01,46,期刊,NETT202415008,True,吴烜;,,,,2024,,逆向设计;;人工智能;;机器学习,中国信息技术教育,H130;,随着科技的飞速发展，人工智能正深刻影响着我们生活的各个领域，人工智能教育的重要意义不言而喻。~#@机器学习@#~作为人工智能的核心分支，其教学对学生理解AI的概念和技能至关重要，如何在中学阶段采用合适的教学方式引导学生~#@学习@#~和理解人工智能，是目前信息技术教师积极探索和研究的方向。在传统教学设计中学生往往处于被动的~#@学习@#~状态，而逆向教学设计以终为始，从~#@学习@#~结果出发，确...,,15,0138625;,CJFDLASN2024,期刊,,,NETT,
CJFD,,,SOCI2408S1,000063344656,,指向计算思维培养的人工智能教学实践研究——以初中《探秘~#@机器学习@#~》一课为例,0,2024-07-25,189,期刊,JYSB202414010,True,原嫄;,,,,2024,,人工智能;;机器学习;;图形化编程;;计算思维,中国现代教育装备,H130;,人工智能技术发展至今，已在图形识别、语音识别、生物识别、生成式人工智能(AIGC)等众多领域得到广泛应用，并展现出~#@机器学习@#~的突破性成就。我国近年来高度重视人工智能赋能教育的战略部署。自2017年国务院发布《新一代人工智能发展规划》以来，已逐步将人工智能教育纳入基础教育课程体系。《义务教育信息科技课程标准(2022年)》设立了人工智能的独立模块，全面覆盖应用实践、计算原理、伦理安全等内容...,,14,,CJFDLAST2024,期刊,,,JYSB,
CJFD,,,AGRI2408S1,000003850202;000062078019,,~#@机器学习@#~在智慧农业中的应用,0,2024-07-20,231,期刊,NYGE202407003,True,杨嘉鹏;董荣;,,,,2024,,机器学习;智慧农业;农业应用;农业信息化,农业工程,D043;I138;I140;,"0 引言
目前我国尤其是西北地区农业呈现出作物多样性和对水资源的依赖性[1]。由于水资源相对匮乏，加之气候变化带来的不确定性，农业生产面临诸多挑战[2-3]。土地资源的利用压力也随着人口增长和经济发展而增大，这进一步要求农业实现可持续发展[4-5]。智慧农业的引入，尤其是~#@机器学习@#~技术的应用，为农业生产力和效率的提升提供了新的可能性。精准农业的实践，可以优化水资源和肥料的使用，同时预测...",,07,1699451;0194145;,CJFDLAST2024,期刊,,,NYGE,
CJFD,,,cajtmp,000060113915,,类型化视角下~#@机器学习@#~的合理使用制度研究,0,2024-07-20,85,期刊,DZZS202407001,True,江璐迪;,,,,2024,,人工智能;机器学习;合理使用;技术创新,电子知识产权,G117;,"一、问题的提出
人工智能技术的飞跃式发展拉开了新一轮技术革命的序幕，与公有领域的信息不同，版权作品具有内容丰富、信息优质的特点，利用版权作品进行数据训练、优化算法是人工智能~#@机器学习@#~中必不可少的环节。目前，人工智能行业的发展正经历互联网发展早期“非法兴起”的阶段。1
1
在此背景下，有关~#@机器学习@#~的版权纠纷不断涌现。2024年2月28日，广州互联网法院就“全球AIGC平台...",,07,0153671;,CJFDAUTO,期刊,,,DZZS,
CJFD,,,SOCI2409,000036206298;000032614757;000042610819,,基于CDIO理念的研究生“~#@机器学习@#~”课程教学改革探索,0,2024-07-05,49,期刊,KJDS202419043,True,刘健;王雪松;袁小平;,,,,2024,,CDIO理念;;机器学习课程;;研究生;;教学改革,科教导刊,H131;I140;,"~#@机器学习@#~（Machine Learning）作为人工智能领域的一个重要分支，在过去几十年中取得了显著的发展。随着大数据、深度~#@学习@#~和自动化技术的兴起，~#@机器学习@#~已在各行各业产生了深远影响，越来越多行业开始认识到~#@机器学习@#~在社会工作中的巨大潜力。作为未来科技创新的关键驱动力之一，研究生专业知识和技能的培养已成为高等教育的当务之急[1]。
[1]
然而，传...",,19,0041682;,CJFDLAST2024,期刊,,,KJDS,
CJFD,,,SOCI2409,000017022454;000004260778;000007027165,,数据科学与大数据技术专业~#@机器学习@#~课程的教学改革探索,0,2024-07-01,107,期刊,JYGN202419012,True,甘炎灵;徐鲁辉;夏海英;,,,,2024,,机器学习;;数据科学与大数据技术;;教学改革,教育观察,H131;I140;,"一、引言
在当今信息爆炸的时代，大数据产业已成为推动社会进步和经济发展的战略性产业。[1]我国高度重视大数据产业发展，工业和信息化部发布《“十四五”大数据产业发展规划》,推动实施国家大数据战略。[2]各行各业对大数据处理与应用的需求正在迅速增长，相应地，对相关专业人才的需求也在日益增加。2016年2月，教育部新增数据科学与大数据技术本科专业，北京大学、对外经济贸易大学、中南大学成为首批开设院校。...",,19,0019441;,CJFDLAST2024,期刊,,,JYGN,
CMFD,,王伟,CDMDTMP,000063958779,,基于~#@机器学习@#~预测半导体材料弹性及介电性质,0,2024-06-30,124,硕士,1024533085.nh,True,胡瑞祎,,,09079705;,2024,,半导体材料;弹性张量;弹性模量;介电张量,中国优秀硕士学位论文全文数据库,A005;I140,"西安理工大学
硕士
2024
基于~#@机器学习@#~预测半导体材料弹性及介电性质
Predicting Elastic and Dielectric Properties of Semiconductor Materials Using Machine Learning
胡瑞祎
王伟
物理学
随着科学技术的迅猛发展,传统的基于研究者科学直觉和大量重复的试错实验的材料制备方法已无法...",,,0041993;,CMFDTEMP,论文,,,AAAM,10700
CMFD,,刘登峰,CDMDTMP,000064054785,,基于~#@机器学习@#~的黄土高原沟壑区小流域水热碳过程模拟,0,2024-06-30,37,硕士,1024532350.nh,True,邓炜,,,28477890;,2024,,黄土高原;土壤湿度;土壤温度;河水温度,中国优秀硕士学位论文全文数据库,A012;B027;C037;I140,"西安理工大学
硕士
2024
基于~#@机器学习@#~的黄土高原沟壑区小流域水热碳过程模拟
Modeling of the Processes of Water-heat-carbon Based on Machine Learning in a Gually Watershed on Loess Plateau
邓炜
刘登峰
水文学及水资源
土壤湿度、土壤温度、河水温度以及二氧化...",,,0041993;,CMFDTEMP,论文,,,AAAM,10700
CJFD,,,INFO2408S1,000056918371;000039690791;000042492945;000036846377;000029154959,,基于~#@机器学习@#~的增材制造用高温合金设计：研究现状与未来趋势,0,2024-06-25,202,期刊,ZNAQ202402010,True,穆亚航;梁静静;李金国;周亦胄;孙晓峰;,,,,2024,,机器学习;;合金设计;;高温合金;;增材制造,智能安全,B022;I138;I140;,"引 言
增材制造(Additive Manufacturing, AM)是一种基于三维数字模型数据，通过逐层添加材料的方式来构建三维实体的制造技术。增材制造技术彻底改变了金属构件的制造方式，通过增材制造设备能够实现高度复杂几何形状零件的一体化制备[1-3];同时，通过局部工艺变化，可以实现微观结构与性能的局部变化，这种制造方式可以实现复杂结构的高精度制造，从而提高产品的性能和品质。尽管经过工业界...",,02,0002522;0110114;,CJFDLAST2024,期刊,,,ZNAQ,
CJFD,,,SOCI2408S1,000008144269;000045889755,,~#@机器学习@#~方法在热工学课程教学中的应用,0,2024-06-20,31,期刊,KXZK202406031,True,韩超灵;王志荣;,,,,2024,,热工学;;机器学习方法;;课程教学;;改革,科学咨询(教育科研),C039;H131;,人工智能(Artificial Intelligence，简称AI)是一门研究如何使计算机系统具备智能行为的学科。它旨在使计算机模拟和执行人类智力任务，如~#@学习@#~、推理、问题解决、感知和语言理解。AI的发展依赖于大数据、~#@机器学习@#~、深度~#@学习@#~和先进的算法。其中~#@机器学习@#~是人工智能和计算机科学的重要分支，可以通过统计学方法对算法进行训练，使其对具体问题进行分类或...,,06,0011979;,CJFDLAST2024,期刊,,,KXZK,
CJFD,,,cajtmp,000062510872;000024966538,,利用~#@机器学习@#~的GNSS欺骗检测综述,0,2024-06-19 15:16,462,期刊,JSGG202417005,True,周雅兰;宋晓鸥;,,,,2024,,机器学习;神经网络;全球卫星导航系统(GNSS);欺骗检测,计算机工程与应用,I136;I140;,"随着全球卫星导航系统（global navigation satellite system,GNSS）的不断发展，其应用领域也不断扩展，在无人驾驶[1-2]、无人作战[3-4]、精密制导[5-6]等需要精确定位授时信息的民用及军事领域发挥着主导作用。然而，导航卫星距离地面两万至三万千米，导航信号到达终端接收机时十分微弱。并且，民用信号系统不加密且信号频点和格式对外公开。这些因素导致卫星导航信号极易...",,17,1694105;,CJFDAUTO,期刊,,,JSGG,
CPFD,,,CPFDTEMP,000030765607;000038954919;000015311644;000055885056,,基于~#@机器学习@#~算法的大学体育教学改革策略研究,0,2024-06-17 13:07,159,中国会议,TUKX202406001113,True,袁军;张毅超;马拾前;南浩浩;,,,,2024,,机器学习算法;;大学体育教学;;教学改革;;个性化教学,第二届陕西省体育科学大会论文摘要集（墙报）,H134;I140,"基于~#@机器学习@#~算法的大学体育教学改革策略研究@袁军$昌吉学院体育与健康学院
@张毅超$昌吉学院体育与健康学院
@马拾前$昌吉学院体育与健康学院
@南浩浩$昌吉学院体育与健康学院2024年1月,习近平总书记在中共中央政治局第十一次集体~#@学习@#~时强调,""高质量发展需要新的生产力理论来指导""""新质生产力是创新起主导作用,摆脱传统经济增长方式、生产力发展路径,具有高科技、高效能、高...",,,0106094;,CPFDTEMP,会议,,,TUKX202406001,
CMFD,,郑佳艳,CDMDTMP,000052455278,,玄武岩纤维混凝土力学性能试验及~#@机器学习@#~预测模型研究,0,2024-06-12,243,硕士,1024510672.nh,True,姚天晨,,,23362596;,2024,,玄武岩纤维混凝土;机器学习模型;粒子群优化算法;遗传算法,中国优秀硕士学位论文全文数据库,B015;C038,"重庆交通大学
硕士
2024
TU528.572
玄武岩纤维混凝土力学性能试验及~#@机器学习@#~预测模型研究
Research on Mechanical Properties Experiment of Basalt Fiber Concrete and Machine Learning Predictive Modeling
姚天晨
郑佳艳
力学
随着中国基建的快速发展,...",,,0157274;,CMFDTEMP,论文,,,BBBM,10618
CMFD,,张超,CDMDTMP,000063756644,,基于~#@机器学习@#~的Pt-Sn和Pt-Si-Sn体系的理论研究,0,2024-06-11,59,硕士,1024421237.nh,True,史国勇,,,09289485;,2024,,Pt-Sn体系;Pt-Si-Sn体系;第一性原理计算;机器学习原子间势函数,中国优秀硕士学位论文全文数据库,A005;I140,"烟台大学
硕士
2024
O469
基于~#@机器学习@#~的Pt-Sn和Pt-Si-Sn体系的理论研究
Theoretical Research on Pt-Sn and Pt-Si-Sn Systems Based on Machine Learning
史国勇
张超
物理学
近年来,由于Pt基合金在微电子工业和催化领域的广泛应用,人们对其进行了广泛而深入的研究。本论文基于~...",,,0072162;,CMFDTEMP,论文,,,AAAM,11066
CJFD,,,SCTC2407,000000939696;000037721427;000040401013;000023544664;000040377777,,~#@机器学习@#~在土木工程《工程监理》教学中的应用改革初探,0,2024-06-10,117,期刊,XUWA202406051,True,唐然;冯鹏;董建辉;邵俊虎;杨华平;,,,,2024,,机器学习;工程监理;教学改革;人工智能,砖瓦,C038;H131;,"新一轮的科技创新与产业革命需要工程教育来提供人才支持。目前，我国工程师的合格程度处于世界末端，新型工科人才的不足催生了对新型工程教育的探索[1]。
[1]
工程监理是研究工程建设过程中质量、进度和安全等方面的管理和监督的一门科学，在建筑工程、交通工程、水利工程等领域具有广泛的应用[2-4]。随着社会经济的快速发展和信息技术的不断更新换代，传统的课堂授课方式已经无法满足学生对《工程监理》知识深入...",,06,0195904;,CJFDLAST2024,期刊,,,XUWA,
CJFD,,,INFO2408S1,000032403735,,~#@机器学习@#~在电力计量能源管理与效能优化中的应用,0,2024-06-10,15,期刊,JCDL202406156,True,姚斌;,,,,2024,,机器学习;;电力计量;;能源管理;;效能优化,集成电路应用,C042;J145;J150;,"0 引言
本文探讨~#@机器学习@#~在电力计量能源管理与效能优化中的应用与算法。~#@机器学习@#~以其独特的优势在能源管理领域发挥重要作用。
1 研究背景
~#@机器学习@#~基本原理。~#@机器学习@#~是一种人工智能的方法论，它基于对数据的~#@学习@#~和自动优化，使计算机系统能够逐渐改进其性能，从而完成任务或达到目标。~#@机器学习@#~技术通过在大量数据中寻找模式，利用统计学原...",,06,0874984;,CJFDLAST2024,期刊,,,JCDL,
CMFD,,冷建材,CDMDTMP,000006558148,,基于~#@机器学习@#~与第一性原理计算的功能二维材料光电特性研究,0,2024-06-08,253,硕士,1024419289.nh,True,姜腾飞,,,33018918;,2024,,机器学习;;第一性原理计算;;二维材料;;光电特性,中国优秀硕士学位论文全文数据库,B020;I140,"齐鲁工业大学
硕士
2024
O47
基于~#@机器学习@#~与第一性原理计算的功能二维材料光电特性研究
Optoelectronic Properties of Functional Two-dimensional Materials : Machine Learning Combined with First-principles Study
姜腾飞
冷建材
材料科学与工程
...",,,1698679;,CMFDTEMP,论文,,,BBBM,10431
CMFD,,苏海涛,CDMDTMP,000064185709,,基于~#@机器学习@#~的电商精准营销研究,0,2024-06-05,137,硕士,1024489212.nh,True,叶甜甜,,,17706021;,2024,,电子商务;精准营销;机器学习;推荐算法,中国优秀硕士学位论文全文数据库,I140;J152;J157,"第一章 绪论
1
第一章 绪论
1.1 研究背景及意义
1.1.1 研究背景
随着互联网的普及，大数据时代下我国电子商务得到了快速的发展。在当
今社会，电子商务是企业与消费者之间的一种重要的交易方式。在中国，传统
的营销观念、方法和手段都无法与大规模的快速扩张和数量的快速增长相匹配，
因此，电子商务的营销方式正在逐步改变，从过去的粗放式发展到精确的集约
型，从而产生了精准营销。“...",,,0252160;,CMFDTEMP,论文,,,IIIM,10403
CMFD,,庞智强,CDMDTMP,000063203495,,基于~#@机器学习@#~的我国粮食产量预测研究,0,2024-06-03,335,硕士,1024457713.nh,True,肖文,,,38365808;,2024,,机器学习;;粮食产量预测;;Stacking集成模型;;交叉验证,中国优秀硕士学位论文全文数据库,I140;J149,"兰州财经大学
硕士
2024
基于~#@机器学习@#~的我国粮食产量预测研究
Research on Grain Production Prediction Based on Machine Learning
肖文
庞智强
应用统计（专业学位）
经济统计应用
在面对全球粮食市场的不确定性和挑战,粮食产量预测变得至关重要。粮食产量预测不仅可以帮助我们及时应对自然灾害、气候变化等因素...",,,1699013;,CMFDTEMP,论文,,,IIIM,10741
CMFD,,马瑾,CDMDTMP,000055938072,,基于可解释~#@机器学习@#~的中国表层土壤有机碳时空异质性研究,0,2024-06-03,169,硕士,1024485299.nh,True,孙怡,,,27974448;,2024,,机器学习;遥感反演;土壤有机碳;时空变化,中国优秀硕士学位论文全文数据库,A008;B027,"中国环境科学研究院
硕士
2024
基于可解释~#@机器学习@#~的中国表层土壤有机碳时空异质性研究
Spatiotemporal Heterogeneity of Surface Soil Organic Carbon in China Based on Interpretable Machine Learning
孙怡
马瑾
环境科学
土壤碳循环
土壤有机碳(Soil Org...",,,0858095;,CMFDTEMP,论文,,,AAAM,82405
CDFD,,高旺,CDMDTMP,000063671281,,贵金属基合金表面结构及吸附特性的~#@机器学习@#~研究,0,2024-06-01,290,博士,1024465452.nh,True,杨泽,,,23129205;,2024,,合金;表面稳定性;吸附特性;本征描述符,中国博士学位论文全文数据库,B022;I140,"吉林大学
材料科学与工程学院
博士
2024
TB34
贵金属基合金表面结构及吸附特性的~#@机器学习@#~研究
Machine Learning Study on Surface Structures and Adsorption Characteristics of Precious Metal Based Alloys
杨泽
高旺
材料学
计算材料学
赵占奎
由于合金...",,,1046463;,CDFDTEMP,论文,,,BBBD,10183
CDFD,,王珵,CDMDTMP,000003018442,,~#@机器学习@#~驱动的镁、铝合金熔体结构与动力学模拟研究及其对凝固行为的影响,0,2024-06-01,194,博士,1024465712.nh,True,尤江,,,31131231;,2024,,轻合金;金属熔体;短程有序结构;动力学,中国博士学位论文全文数据库,B022;I140,"吉林大学
材料科学与工程学院
博士
2024
TG146.2
~#@机器学习@#~驱动的镁、铝合金熔体结构与动力学模拟研究及其对凝固行为的影响
Machine Learning-driven Simulation Study of Structure and Dynamics in Magnesium and Aluminum Alloy Melts and Their Effects...",,,1046463;,CDFDTEMP,论文,,,BBBD,10183
CDFD,,高翔;郑成航;张霄,CDMDTMP,000054716598,,基于~#@机器学习@#~的多元金属氧化物基催化剂的高效开发与性能研究,0,2024-06-01,110,博士,1024558772.nh,True,董毅,,,09327157;10806892;31387300;,2024,,催化剂研发;机器学习;金属氧化物;甲醇合成,中国博士学位论文全文数据库,B016;I140,"浙江大学博士学位论文  1  绪论
1
1 绪论
1.1 研究背景
我国是全球最大的煤炭消费国。尽管近年来我国的能源消费结构在逐步优化，但
是以现有的技术及资源条件，以煤为主的能源消费模式在短期内仍难以改变[1]。如图
1.1 所示，2023 年我国能源消费总量达到 57.2 亿吨标准煤，其中煤炭消费占比达到
55.3%。能源领域是我国主要的二氧化碳（CO2）和大气污染物的排放来源，...",,,0157820;,CDFDTEMP,论文,,,BBBD,10335
